0
17.72
0, 57, -72, 0.693
0, 31, -37, 0.274
0, 45, -25, 0.675
0, 56, -32, 0.186
0, 63, -9, 0.613
0, -27, 63, 0.147
0, -100, -55, 0.332
0, -37, 58, 0.267
0, -77, 50, 0.921
0, 24, 42, 0.563
0, -4, 63, 0.714
0, -19, -33, 0.533
0, 10, -90, 0.392
0, -17, -81, 0.014
0, -2, -38, 0.072
0, 27, -77, 0.322
0, 90, -40, 0.547
0, 13, 72, 0.093
0, 21, -39, 0.294
0, 50, -66, 0.296
0, 87, -89, 0.506
0, -82, 4, 0.303
0, 37, 73, 0.947
0, -96, -51, 0.042
0, -87, -39, 0.679
0, -42, 99, 0.706
1, 91, 89, 0.055
0, -47, 66, 0.57
0, -53, -47, 0.98
0, -41, 7, 0.761
0, 0, -98, 0.205
0, 81, 86, 0.136
0, -44, 4, 0.954
0, 55, -30, 0.755
0, -7, 55, 0.811
0, -38, -20, 0.285
0, -40, 98, 0.999
0, 4, -67, 0.706
0, 99, 45, 0.757
0, 97, 38, 0.538
2, 92, 71, 0.012
0, -27, 61, 0.481
0, 62, -62, 0.67
0, 52, -41, 0.402
0, -46, 31, 0.133
0, 15, -24, 0.497
0, 42, 21, 0.185
0, 91, 72, 0.66
0, 5, 75, 0.279
0, -22, 36, 0.985
